_key,id,nome,porcao,base_unit,category_id,proteina,attributes/protein/unit,lipidio,attributes/lipid/unit,carboidrato,attributes/carbohydrate/unit,sodio,attributes/sodium/unit,caloria,attributes/energy/kj
142,143,"Pimentao, amarelo, cru",100,g,2,1.22463768115942,g,0.436666666666667,g,5.96202898550725,g,Tr,mg,27.9274594202899,116.848490214493
143,144,"Pimentao, verde, cru",100,g,2,1.05072463768116,g,0.15,g,4.89260869565218,g,Tr,mg,21.2858811594203,89.0601267710145
144,145,"Pimentao, vermelho, cru",100,g,2,1.03985507246377,g,0.146666666666667,g,5.46681159420291,g,Tr,mg,23.281363768116,97.4092260057974
145,146,"Polvilho, doce",100,g,2,0.43,g,Tr,g,86.7733333333333,g,1.57666666666667,mg,351.226733333333,1469.53265226667
146,147,"Quiabo, cru",100,g,2,1.91875,g,0.299,g,6.37391666666667,g,0.891,mg,29.9392621500691,125.265872835889
147,148,"Rabanete, cru",100,g,2,1.39130434782609,g,0.073333333333333,g,2.72536231884058,g,10.9933333333333,mg,13.7381260869565,57.480319547826
148,149,"Repolho, branco, cru",100,g,2,0.876811594202899,g,0.143333333333333,g,3.85985507246377,g,3.64333333333333,mg,17.1188028985507,71.6250713275362
149,150,"Repolho, roxo, cru",100,g,2,1.90833333333333,g,0.063666666666667,g,7.204,g,2.33766666666667,mg,30.9075029543241,129.316992360892
150,151,"Repolho, roxo, refogado",100,g,2,1.80208333333333,g,1.24033333333333,g,7.56158333333333,g,3.41666666666667,mg,41.7735252897143,174.780429812165
151,152,"Rucula, crua",100,g,2,1.76666666666667,g,0.107333333333333,g,2.21966666666666,g,9.418,mg,13.1332566072941,54.9495456449184
152,153,"Salsa, crua",100,g,2,3.25724637681159,g,0.61,g,5.70608695652174,g,2.3,mg,33.4241115942029,139.846482910145
153,154,"Seleta de legumes, enlatada",100,g,2,3.42028985507246,g,0.353333333333333,g,12.6697101449275,g,398.136666666667,mg,56.5337724637681,236.537303988406
154,155,"Serralha, crua",100,g,2,2.67291666666667,g,0.742666666666667,g,4.94675,g,19.347,mg,30.3979341666666,127.184956553333
155,156,"Taioba, crua",100,g,2,2.89583333333333,g,0.926666666666667,g,5.43049999999999,g,1.16066666666667,mg,34.2089183333333,143.130114306667
156,157,"Tomate, com semente, cru",100,g,2,1.09782608695652,g,0.173333333333333,g,3.13884057971015,g,1.02,mg,15.3351565217392,64.1622948869566
157,158,"Tomate, extrato",100,g,2,2.43478260869565,g,0.19,g,14.9586173913043,g,497.933333333333,mg,60.9334336521739,254.945486400696
158,159,"Tomate, molho industrializado",100,g,2,1.375,g,0.903333333333333,g,7.71166666666668,g,418.280666666667,mg,38.4465494604906,160.860362942693
159,160,"Tomate, pure",100,g,2,1.36231884057971,g,Tr,g,6.89434782608695,g,103.93,mg,27.9368797101449,116.887904707246
160,161,"Tomate, salada",100,g,2,0.810416666666667,g,Tr,g,5.11791666666666,g,5.243,mg,20.5469091666666,85.9682679533332
161,162,"Vagem, crua",100,g,2,1.78623188405797,g,0.173333333333333,g,5.34710144927536,g,Tr,mg,24.8983579710145,104.174729750725
162,163,"Abacate, cru",100,g,3,1.23913043478261,g,8.39666666666667,g,6.0308695652174,g,Tr,mg,96.1547086956522,402.311301182609
163,164,"Abacaxi, cru",100,g,3,0.858695652173913,g,0.123333333333333,g,12.3346376811594,g,Tr,mg,48.3222130434782,202.180139373913
164,165,"Abacaxi, polpa, congelada",100,g,3,0.466666666666667,g,0.113333333333333,g,7.79866666666666,g,1.23633333333333,mg,30.5917991943359,127.996087829102
165,166,"Abiu, cru",100,g,3,0.833333333333333,g,0.703333333333333,g,14.927,g,Tr,mg,62.4240984085401,261.182427741332
166,167,"Acai, polpa, com xarope de guarana e glucose",100,g,3,0.720833333333333,g,3.66033333333333,g,21.4551666666667,g,15.0986666666667,mg,110.29759,461.48511656
167,168,"Acai, polpa, congelada",100,g,3,0.797916666666667,g,3.94433333333333,g,6.20841666666667,g,5.177,mg,58.0453688728213,242.861823363884
168,169,"Acerola, crua",100,g,3,0.90625,g,0.207666666666667,g,7.96641666666667,g,Tr,mg,33.46227,140.00613768
169,170,"Acerola, polpa, congelada",100,g,3,0.591666666666667,g,Tr,g,5.54133333333333,g,1.28,mg,21.9368,91.7835711999999
170,171,"Ameixa, calda, enlatada",100,g,3,0.408333333333333,g,Tr,g,46.8926666666667,g,2.70433333333333,mg,182.84662,765.03025808
171,172,"Ameixa, crua",100,g,3,0.771739130434783,g,Tr,g,13.8515942028986,g,Tr,mg,52.5424826086957,219.837747234783
172,173,"Ameixa, em calda, enlatada, drenada",100,g,3,1.025,g,0.280333333333333,g,47.658,g,2.79033333333333,mg,177.359185315371,742.07083135951
173,174,"Atemoia, crua",100,g,3,0.970833333333333,g,0.300333333333333,g,25.3321666666667,g,0.785,mg,96.9715874479214,405.729121882103
174,175,"Banana, da terra, crua",100,g,3,1.43478260869565,g,0.24,g,33.6652173913044,g,Tr,mg,128.024452173913,535.654307895652
175,176,"Banana, doce em barra",100,g,3,2.16875,g,0.05,g,75.6665833333333,g,9.88233333333333,mg,280.105192550639,1171.96012563188
176,177,"Banana, figo, crua",100,g,3,1.13125,g,0.141666666666667,g,27.8044166666667,g,Tr,mg,105.08265,439.6658076
177,178,"Banana, maca, crua",100,g,3,1.7536231884058,g,0.06,g,22.3363768115942,g,Tr,mg,86.8053304347826,363.19350253913
178,179,"Banana, nanica, crua",100,g,3,1.39855072463768,g,0.116666666666667,g,23.848115942029,g,Tr,mg,91.528847826087,382.956699304348
179,180,"Banana, ouro, crua",100,g,3,1.48188405797101,g,0.21,g,29.3414492753623,g,Tr,mg,112.366047826087,470.139544104348
180,181,"Banana, pacova, crua",100,g,3,1.22708333333333,g,0.079,g,20.3125833333333,g,0.938666666666667,mg,77.9095279250741,325.97346483851
181,182,"Banana, prata, crua",100,g,3,1.26811594202899,g,0.065,g,25.956884057971,g,Tr,mg,98.2497021739131,411.076753895652
182,183,"Cacau, cru",100,g,3,0.954166666666667,g,0.144,g,19.4111666666667,g,0.700333333333333,mg,74.29148,310.83555232
183,184,"Caja-Manga, cru",100,g,3,1.27916666666667,g,Tr,g,11.4341666666667,g,1.43866666666667,mg,45.5809687737227,190.710773349256
184,185,"Caja, polpa, congelada",100,g,3,0.589583333333333,g,0.167666666666667,g,6.37441666666666,g,6.945,mg,26.3322693110506,110.174214797436
185,186,"Caju, cru",100,g,3,0.971014492753623,g,0.33,g,10.2889888405797,g,2.96666666666667,mg,43.0650685217391,180.184246694956
186,187,"Caju, polpa, congelada",100,g,3,0.48125,g,0.154,g,9.35074999999999,g,4.16166666666667,mg,36.56868,153.00335712
187,188,"Caju, suco concentrado, envasado",100,g,3,0.404166666666667,g,0.2,g,10.7338333333333,g,45.0443333333333,mg,45.1086266666667,188.734493973333
188,189,"Caqui, chocolate, cru",100,g,3,0.35625,g,0.069333333333333,g,19.32575,g,2.18333333333333,mg,71.3500181116462,298.528475779128
189,190,"Carambola, crua",100,g,3,0.870833333333333,g,0.177,g,11.4815,g,4.09466666666667,mg,45.7408887934287,191.379878711706
190,191,"Ciriguela, crua",100,g,3,1.39791666666667,g,0.359666666666667,g,18.8574166666667,g,1.68233333333333,mg,75.59411,316.28575624
191,192,"Cupuacu, cru",100,g,3,1.16041666666667,g,0.951333333333333,g,10.4335833333333,g,3.196,mg,49.4225587743719,206.783985911972
192,193,"Cupuacu, polpa, congelada",100,g,3,0.84375,g,0.593666666666667,g,11.3869166666667,g,0.689,mg,48.79689,204.16618776
193,194,"Figo, cru",100,g,3,0.967391304347826,g,0.156666666666667,g,10.2459420289855,g,Tr,mg,41.4471260869565,173.414775547826
194,195,"Figo, enlatado, em calda",100,g,3,0.561594202898551,g,0.15,g,50.3384057971015,g,6.87,mg,184.360717391304,771.365241565217
195,196,"Fruta-pao, crua",100,g,3,1.08125,g,0.189333333333333,g,17.1744166666667,g,0.799333333333333,mg,67.04562,280.51887408
196,197,"Goiaba, branca, com casca, crua",100,g,3,0.898550724637681,g,0.486666666666667,g,12.4014492753623,g,Tr,mg,51.737747826087,216.470736904348
197,198,"Goiaba, doce em pasta",100,g,3,0.579710144927536,g,,,74.1236231884058,g,3.7,mg,268.959826086957,1125.32791234783
198,199,"Goiaba, doce, cascao",100,g,3,0.414583333333333,g,0.103333333333333,g,78.70275,g,11.0293333333333,mg,285.587792439004,1194.89932356479
199,200,"Goiaba, vermelha, com casca, crua",100,g,3,1.08695652173913,g,0.44,g,13.0097101449275,g,Tr,mg,54.1699304347826,226.646988939131
200,201,"Graviola, crua",100,g,3,0.845833333333333,g,0.21,g,15.8395,g,4.16,mg,61.6218983766636,257.82602280796
201,202,"Graviola, polpa, congelada",100,g,3,0.566666666666667,g,0.137666666666667,g,9.78266666666666,g,3.04633333333333,mg,38.27387,160.13787208
202,203,"Jabuticaba, crua",100,g,3,0.6125,g,0.128333333333333,g,15.2558333333333,g,Tr,mg,58.05315,242.8943796
203,204,"Jaca, crua",100,g,3,1.40208333333333,g,0.265,g,22.4975833333333,g,1.80166666666667,mg,87.92035,367.8587444
204,205,"Jambo, cru",100,g,3,0.885416666666667,g,0.066666666666667,g,6.49425,g,21.656,mg,26.9123,112.6010632
205,206,"Jamelao, cru",100,g,3,0.545833333333333,g,0.109666666666667,g,10.6271666666667,g,1.36633333333333,mg,41.0097089167039,171.584622107489
206,207,"Kiwi, cru",100,g,3,1.33695652173913,g,0.626666666666667,g,11.4997101449275,g,Tr,mg,51.1363304347826,213.954406539131
207,208,"Laranja, baia, crua",100,g,3,0.978260869565218,g,0.103333333333333,g,11.4684057971015,g,Tr,mg,45.4381173913043,190.113083165217
208,209,"Laranja, baia, suco",100,g,3,0.652173913043478,g,Tr,g,8.69782608695652,g,Tr,mg,36.6494826086956,153.341435234782
209,210,"Laranja, da terra, crua",100,g,3,1.07708333333333,g,0.185666666666667,g,12.8605833333333,g,0.83,mg,51.4711286392808,215.355202226751
210,211,"Laranja, da terra, suco",100,g,3,0.666666666666667,g,0.142,g,9.57333333333334,g,Tr,mg,40.9560073108673,171.359934588669
211,212,"Laranja, lima, crua",100,g,3,1.05625,g,0.075333333333333,g,11.53375,g,1.111,mg,45.7010387806296,191.213146258154
212,213,"Laranja, lima, suco",100,g,3,0.714583333333333,g,0.119333333333333,g,9.16741666666668,g,Tr,mg,39.3360939441324,164.58221706225
213,214,"Laranja, pera, crua",100,g,3,1.04347826086957,g,0.126666666666667,g,8.94652173913044,g,Tr,mg,36.7737652173913,153.861433669565
214,215,"Laranja, pera, suco",100,g,3,0.739130434782609,g,0.073333333333333,g,7.55420289855072,g,Tr,mg,32.7097536231884,136.85760915942
215,216,"Laranja, valencia, crua",100,g,3,0.766666666666667,g,0.159,g,11.723,g,0.629,mg,46.109628783385,192.922686829683
216,217,"Laranja, valencia, suco",100,g,3,0.483333333333333,g,0.124333333333333,g,8.554,g,Tr,mg,36.1963505876859,151.445530858878
217,218,"Limao, cravo, suco",100,g,3,0.325,g,Tr,g,5.24666666666666,g,Tr,mg,14.1037333993117,59.0100205427201
218,219,"Limao, galego, suco",100,g,3,0.565217391304348,g,0.066666666666667,g,7.32144927536232,g,Tr,mg,22.2250434782609,92.9895819130436
219,220,"Limao, tahiti, cru",100,g,3,0.939583333333333,g,0.14,g,11.0844166666667,g,1.24833333333333,mg,31.8181534301639,133.127153951806
220,221,"Maca, Argentina, com casca, crua",100,g,3,0.225,g,0.246,g,16.588,g,1.318,mg,62.5318183662891,261.633128044554
221,222,"Maca, Fuji, com casca, crua",100,g,3,0.286666666666667,g,Tr,g,15.1533333333333,g,Tr,mg,55.5152000000001,232.2755968
222,223,"Macauba, crua",100,g,3,2.0829,g,40.6566666666667,g,13.9454333333333,g,0.654333333333333,mg,404.281876666667,1691.51537197333
223,224,"Mamao, doce em calda, drenado",100,g,3,0.19375,g,0.067333333333333,g,54.0035833333333,g,2.91433333333333,mg,195.627474821786,818.505354654353
224,225,"Mamao, Formosa, cru",100,g,3,0.815217391304348,g,0.12,g,11.5547826086956,g,3.25666666666667,mg,45.3407478260869,189.705688904348
225,226,"Mamao, Papaia, cru",100,g,3,0.45625,g,0.124333333333333,g,10.43975,g,1.63033333333333,mg,40.1567689422966,168.015921254569
226,227,"Mamao verde, doce em calda, drenado",100,g,3,0.316666666666667,g,0.098,g,57.6366666666667,g,4.74,mg,209.376254458904,876.030248656056
227,228,"Manga, Haden, crua",100,g,3,0.408333333333333,g,0.256,g,16.6626666666667,g,0.551333333333333,mg,63.5003183387915,265.685331929504
228,229,"Manga, Palmer, crua",100,g,3,0.410416666666667,g,0.172,g,19.35225,g,1.86366666666667,mg,72.4867380916873,303.28451217562
229,230,"Manga, polpa, congelada",100,g,3,0.38125,g,0.234,g,12.5184166666667,g,6.73333333333333,mg,48.30588,202.11180192
230,231,"Manga, Tommy Atkins, crua",100,g,3,0.855072463768116,g,0.22,g,12.7715942028985,g,Tr,mg,50.6921826086956,212.096092034783
231,232,"Maracuja, cru",100,g,3,1.98913043478261,g,2.10333333333333,g,12.2642028985507,g,1.58,mg,68.4395086956521,286.350904382609
232,233,"Maracuja, polpa, congelada",100,g,3,0.8125,g,0.176666666666667,g,9.59749999999999,g,8.096,mg,38.7597,162.1705848
233,234,"Maracuja, suco concentrado, envasado",100,g,3,0.766666666666667,g,0.193333333333333,g,9.63599999999999,g,21.6923333333333,mg,41.96732,175.59126688
234,235,"Melancia, crua",100,g,3,0.884057971014493,g,Tr,g,8.13927536231884,g,Tr,mg,32.6066260869565,136.426123547826
235,236,"Melao, cru",100,g,3,0.677536231884058,g,Tr,g,7.52579710144927,g,11.1666666666667,mg,29.3693913043478,122.881533217391
236,237,"Mexerica, Murcote, crua",100,g,3,0.883333333333333,g,0.134,g,14.862,g,1.16733333333333,mg,57.5927784746488,240.96818513793
237,238,"Mexerica, Rio, crua",100,g,3,0.65,g,0.128333333333333,g,9.33700000000001,g,1.824,mg,36.8713500000001,154.2697284
238,239,"Morango, cru",100,g,3,0.894927536231884,g,0.31,g,6.81840579710146,g,Tr,mg,30.1479173913044,126.138886365217
239,240,"Nespera, crua",100,g,3,0.308333333333333,g,Tr,g,11.5286666666667,g,Tr,mg,42.5391988681952,177.984008064529
240,241,"Pequi, cru",100,g,3,2.33541666666667,g,17.971,g,12.9729166666667,g,Tr,mg,204.96677,857.58096568
241,242,"Pera, Park, crua",100,g,3,0.235416666666667,g,0.230333333333333,g,16.0749166666667,g,0.981666666666667,mg,60.58859,253.50266056
242,243,"Pera, Williams, crua",100,g,3,0.565217391304348,g,0.11,g,14.0247826086956,g,Tr,mg,53.3090478260869,223.045056104348
243,244,"Pessego, Aurora, cru",100,g,3,0.825,g,Tr,g,9.32100000000001,g,Tr,mg,36.3275990245342,151.994674318651
244,245,"Pessego, enlatado, em calda",100,g,3,0.706521739130435,g,Tr,g,16.8801449275362,g,3.201,mg,63.1424347826087,264.187947130435
245,246,"Pinha, crua",100,g,3,1.48541666666667,g,0.319,g,22.4479166666667,g,1.33733333333333,mg,88.4735276668668,370.173239758171
246,247,"Pitanga, crua",100,g,3,0.929166666666667,g,0.169,g,10.2441666666667,g,1.704,mg,41.41553,173.28257752
247,248,"Pitanga, polpa, congelada",100,g,3,0.285416666666667,g,0.121333333333333,g,4.75858333333333,g,5.029,mg,19.1054595023592,79.937242557871
248,249,"Roma, crua",100,g,3,0.404166666666667,g,Tr,g,15.1058333333333,g,0.591333333333333,mg,55.739,233.211976
249,250,"Tamarindo, cru",100,g,3,3.20625,g,0.455,g,72.53175,g,0.355333333333333,mg,275.695642694414,1153.51056903343
250,251,"Tangerina, Ponca, crua",100,g,3,0.847826086956522,g,0.073333333333333,g,9.60999999999999,g,Tr,mg,37.8306,158.215122156522
251,252,"Tangerina, Ponca, suco",100,g,3,0.521739130434783,g,Tr,g,8.8,g,Tr,mg,36.1088,150.981422747826
252,253,"Tucuma, cru",100,g,3,2.09375,g,19.0766666666667,g,26.4745833333333,g,3.893,mg,262.015195072393,1096.27157618289
253,254,"Umbu, cru",100,g,3,0.841666666666667,g,Tr,g,9.39533333333333,g,Tr,mg,37.01669,154.87783096
254,255,"Umbu, polpa, congelada",100,g,3,0.5125,g,0.070333333333333,g,8.78683333333333,g,5.771,mg,33.94329,142.01872536
255,256,"Uva, Italia, crua",100,g,3,0.746376811594203,g,0.203333333333333,g,13.5733333333333,g,Tr,mg,52.8731000000001,221.16109186087
256,257,"Uva, Rubi, crua",100,g,3,0.608333333333333,g,0.157,g,12.6953333333333,g,7.919,mg,49.06129,205.27243736
257,258,"Uva, suco concentrado, envasado",100,g,3,Tr,g,Tr,g,14.708,g,9.58333333333333,mg,57.65536,241.23002624
258,259,"Azeite, de dende",100,g,4,NA,g,100,g,NA,g,,,884,3698.656
259,260,"Azeite, de oliva, extra virgem",100,g,4,NA,g,100,g,NA,g,,,884,3698.656
260,261,"Manteiga, com sal",100,g,4,0.41470000743866,g,82.361,g,0.063299992561333,g,578.694666666667,mg,725.968926845999,3037.45398992366
261,262,"Manteiga, sem sal",100,g,4,0.395560007095337,g,86.0393333333333,g,,,3.84866666666667,mg,757.540460725997,3169.54928767757
262,263,"Margarina, com oleo hidrogenado, com sal (65% de lipideos)",100,g,4,Tr,g,67.4343333333333,g,,,894.038666666667,mg,596.119516956329,2494.16405894528
263,264,"Margarina, com oleo hidrogenado, sem sal (80% de lipideos)",100,g,4,Tr,g,81.7336666666667,g,,,77.891,mg,722.525625804901,3023.04721836771
264,265,"Margarina, com oleo interesterificado, com sal (65%de lipideos)",100,g,4,Tr,g,67.2456666666667,g,,,560.797666666667,mg,594.451693333333,2487.18588490667
265,266,"Margarina, com oleo interesterificado, sem sal (65% de lipideos)",100,g,4,Tr,g,67.097,g,,,33.1943333333333,mg,593.13749023819,2481.68725915659
266,267,"oleo, de babacu",100,g,4,NA,g,100,g,NA,g,,,884,3698.656
267,268,"oleo, de canola",100,g,4,NA,g,100,g,NA,g,,,884,3698.656
268,269,"oleo, de girassol",100,g,4,NA,g,100,g,NA,g,,,884,3698.656
269,270,"oleo, de milho",100,g,4,NA,g,100,g,NA,g,,,884,3698.656
270,271,"oleo, de pequi",100,g,4,NA,g,100,g,NA,g,,,884,3698.656
271,272,"oleo, de soja",100,g,4,NA,g,100,g,NA,g,,,884,3698.65606384277
272,273,"Abadejo, file, congelado, assado",100,g,5,23.525,g,1.23766666666667,g,,,334.391333333333,mg,111.615503451188,466.999266439772
273,274,"Abadejo, file, congelado,cozido",100,g,5,19.3458333333333,g,0.942,g,,,189.337666666667,mg,91.1035483955542,381.177246486999
274,275,"Abadejo, file, congelado, cru",100,g,5,13.0833333333333,g,0.36,g,,,78.515,mg,59.1130332485835,247.328931112073
275,276,"Abadejo, file, congelado, grelhado",100,g,5,27.6104166666667,g,1.30233333333333,g,,,305.093666666667,mg,129.643525902867,542.428512377597
276,277,"Atum, conserva em oleo",100,g,5,26.1875,g,5.99666666666667,g,,,362.1465,mg,165.910560578903,694.169785462128
277,278,"Atum, fresco, cru",100,g,5,25.68,g,0.87,g,,,30.3033333333333,mg,117.501,491.624184
278,279,"Bacalhau, salgado, cru",100,g,5,29.0366666666667,g,1.32,g,,,13585.0566666667,mg,135.892966666667,568.576172533333
279,280,"Bacalhau, salgado, refogado",100,g,5,23.9791666666667,g,3.60666666666667,g,1.22416666666668,g,1256.27666666667,mg,139.66070105354,584.340373208011
280,281,"Cacao, posta, com farinha de trigo, frita",100,g,5,24.9520833333333,g,9.95433333333333,g,3.10058333333333,g,160.031666666667,mg,208.332743725975,871.664199749481
281,282,"Cacao, posta, cozida",100,g,5,25.5895833333333,g,0.748,g,,,114.905333333333,mg,116.014480687658,485.404587197161
282,283,"Cacao, posta, crua",100,g,5,17.8541666666667,g,0.786666666666667,g,,,176.023666666667,mg,83.3330250195662,348.665376681865
283,284,"Camarao, Rio Grande, grande, cozido",100,g,5,18.9666666666667,g,1.00066666666667,g,,,366.552,mg,90.0136800963084,376.617237522954
284,285,"Camarao, Rio Grande, grande, cru",100,g,5,9.99166666666667,g,0.501,g,,,201.128,mg,47.1834367054304,197.415499175521
285,286,"Camarao, Sete Barbas, sem cabeca, com casca, frito",100,g,5,18.3875,g,15.6203333333333,g,2.87983333333333,g,99.055,mg,231.246153850873,967.533907712054
286,287,"Caranguejo, cozido",100,g,5,18.4791666666667,g,0.423,g,,,360.105666666667,mg,82.7215015078386,346.106762308797
287,288,"Corimba, cru",100,g,5,17.3666666666667,g,5.98666666666667,g,-0.026666666666666,g,47.01,mg,128.1554,536.2021936
288,289,"Corimbata, assado",100,g,5,19.8979166666667,g,19.5663333333333,g,,,40.426,mg,261.452439410567,1093.91700649381
289,290,"Corimbata, cozido",100,g,5,20.13125,g,16.933,g,,,37.1656666666667,mg,238.696104867339,998.704502764947
290,291,"Corvina de agua doce, crua",100,g,5,18.9166666666667,g,2.24333333333333,g,,,45.09,mg,101.009033333333,422.621795466667
291,292,"Corvina do mar, crua",100,g,5,18.57,g,1.58333333333333,g,,,67.97,mg,94,391.520170933333
292,293,"Corvina grande, assada",100,g,5,26.7666666666667,g,3.57366666666667,g,,,85.352,mg,146.528141125361,613.073742468511
293,294,"Corvina grande, cozida",100,g,5,23.4375,g,2.56266666666667,g,,,68.39,mg,100.078124552965,418.726873129606
294,295,"Dourada de agua doce, fresca",100,g,5,18.8104166666667,g,5.64166666666667,g,,,40.2976666666667,mg,131.20831472377,548.975588804253
295,296,"Lambari, congelado, cru",100,g,5,16.8125,g,6.54666666666667,g,,,47.92,mg,130.840311009487,547.435861263692
